# Checked consolidation of warning storage, statement status, no-op policy, warning production, and protocol publication owners.
# old_owner	new_owner	source_path	test_path	test_line	test_name	retired_artifacts	new_artifacts	note
session-warning-handler-authority	session-warning-status-publication	pkg/util/context/warn.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/session-warning-handler-authority.tsv	rust/crates/tidb-exec/src/warning_publication.rs,rust/difftests/corpus/coverage/evidence/source/session-warning-status-publication.tsv	Mutable warning-handler ownership moves unchanged; every existing partial runtime seam remains open.
session-status-source-wave	session-warning-status-publication	pkg/sessionctx/stmtctx/stmtctx.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/session-status-source-wave.tsv	rust/crates/tidb-exec/src/statement_status.rs,rust/difftests/corpus/coverage/evidence/source/session-warning-status-publication.tsv	Statement-status ownership moves with its existing independent source leaves and explicit lifecycle gaps.
session-noop-read-only-wave	session-warning-status-publication	pkg/sessionctx/variable/noop.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/session-noop-read-only-wave.tsv	rust/crates/tidb-exec/src/noop_read_only.rs,rust/difftests/corpus/coverage/evidence/source/session-warning-status-publication.tsv	No-op/read-only registration and policy ownership moves unchanged.
session-isolation-state-wave	session-warning-status-publication	pkg/sessionctx/variable/varsutil.go	-	-	-	-	rust/crates/tidb-exec/src/session_runtime.rs,rust/difftests/corpus/coverage/evidence/source/session-warning-status-publication.tsv	Only the varsutil.go row moves; the co-located isolation evidence retains variable.go, session.go, and sessiontxn/isolation/base.go.
session-protocol-status-publication	session-warning-status-publication	pkg/server/driver_tidb.go	-	-	-	rust/difftests/corpus/coverage/evidence/source/session-protocol-status-publication.tsv	rust/crates/tidb-exec/src/cluster.rs,rust/difftests/corpus/coverage/evidence/source/session-warning-status-publication.tsv	Protocol status publication moves unchanged without claiming broader driver behavior.
session-warning-handler-authority	session-warning-status-publication	-	pkg/util/context/warn_test.go	28	TestSQLWarn	rust/difftests/corpus/coverage/evidence/tests/session-warning-handler-authority.tsv	rust/crates/tidb-exec/tests/warning_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	Covered SQLWarn vectors move unchanged.
session-warning-handler-authority	session-warning-status-publication	-	pkg/util/context/warn_test.go	64	TestIgnoreWarn	rust/difftests/corpus/coverage/evidence/tests/session-warning-handler-authority.tsv	rust/crates/tidb-exec/tests/warning_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	Covered IgnoreWarn vectors move unchanged.
session-warning-handler-authority	session-warning-status-publication	-	pkg/util/context/warn_test.go	79	TestStaticWarnHandler	rust/difftests/corpus/coverage/evidence/tests/session-warning-handler-authority.tsv	rust/crates/tidb-exec/tests/warning_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	Covered mutable-handler vectors move unchanged through the existing transfer chain.
session-warning-handler-authority	session-warning-status-publication	-	pkg/util/context/warn_test.go	158	TestCopyWarnHandler	rust/difftests/corpus/coverage/evidence/tests/session-warning-handler-authority.tsv	rust/crates/tidb-exec/tests/warning_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	Covered copy independence moves unchanged.
session-warning-handler-authority	session-warning-status-publication	-	pkg/util/context/warn_test.go	0	warn_test.go	rust/difftests/corpus/coverage/evidence/tests/session-warning-handler-authority.tsv	rust/crates/tidb-exec/tests/warning_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The covered complete test-file obligation moves unchanged.
session-status-source-wave	session-warning-status-publication	-	pkg/sessionctx/stmtctx/stmtctx_test.go	415	TestNewStmtCtx	rust/difftests/corpus/coverage/evidence/tests/session-status-source-wave.tsv	rust/crates/tidb-exec/tests/statement_status_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The partial statement initialization anchor moves with all gaps retained.
session-status-source-wave	session-warning-status-publication	-	pkg/sessionctx/stmtctx/stmtctx_test.go	468	TestResetStmtCtx	rust/difftests/corpus/coverage/evidence/tests/session-status-source-wave.tsv	rust/crates/tidb-exec/tests/statement_status_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The partial reset/publication anchor moves with all gaps retained.
session-isolation-state-wave	session-warning-status-publication	-	pkg/sessionctx/variable/sysvar_test.go	351	TestTxnIsolation	rust/difftests/corpus/coverage/evidence/tests/session-isolation-state-wave.tsv	rust/crates/tidb-exec/tests/isolation_state_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The partial isolation anchor moves because it is the exact current varsutil/isolation warning contract; unrelated isolation sources remain separately owned.
session-noop-read-only-wave	session-warning-status-publication	-	pkg/sessionctx/variable/sysvar_test.go	411	TestReadOnlyNoop	rust/difftests/corpus/coverage/evidence/tests/session-noop-read-only-wave.tsv	rust/crates/tidb-exec/tests/noop_read_only_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The partial no-op/read-only policy vectors move unchanged.
session-warning-live-publication	session-warning-status-publication	-	pkg/executor/set_test.go	1530	TestEnableNoopFunctionsVar	rust/difftests/corpus/coverage/evidence/tests/session-warning-live-publication.tsv	rust/crates/tidb-server/tests/status_publication_source.rs,rust/difftests/corpus/coverage/evidence/tests/session-warning-status-publication.tsv	The partial live publication anchor moves unchanged; broader SET and global persistence behavior remain open.
