# Connected direct-unary source evidence consolidated from all three predecessor owners.
# source_path	status	owner	evidence_artifact	note
pkg/store/copr/coprocessor_cache.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-distsql/src/copr_cache.rs	The bounded cache authority preserves key construction, disabling, admission, retained exact-key validation, Get and Set, response fields 7/8/9, hit restoration, miss insertion, and absent versus present-empty paging ranges. The direct-unary runtime invokes the predicate and accepted-response lifecycle around real TiKV RPCs; Ristretto sampled-LFU, asynchronous visibility, aliasing, eviction metrics, and non-finite conversion parity remain open.
pkg/store/copr/ema.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-distsql/src/read_bytes_ema.rs	EMA math and concurrency connect to classic and next-generation response-byte extraction plus successful-page observation; the coordinator and all CopPagingState continuations share one Arc<ReadBytesEma> rather than copying independent estimators. Non-finite and out-of-range Go float-to-uint64 conversion remains open.
pkg/store/copr/key_ranges.go	COVERED	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/key_ranges.rs	Complete first-middle-last representation, slicing, splitting, traversal, reset, formatting, safe protobuf conversion, and live retry/remain consumption execute without Go unsafe aliases.
pkg/store/copr/region_cache.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/region/cache.rs	A loader-backed RegionCache is the sole direct-unary topology authority. It walks half-open ranges with exact successor boundaries and forward progress, rejects malformed loader output before insertion, deduplicates overlapping inputs, reuses cached snapshots, validates delayed observations, updates known leaders, accepts available epoch-mismatch sibling subsets atomically, and invalidates exact versions. The integrated PD loader filters removed stores and witnesses while preserving unknown role discriminants; TTL, buckets, background liveness refresh, lock resolution, panic diagnostics, and production concurrency remain open.
pkg/store/copr/store.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/client.rs	Exact TiKV/TiFlash/TiDB/TiFlashCompute endpoint discriminants and the disaggregated TiFlash mapping execute as pure request metadata. The KV layer owns immutable requests, structured address-generation failure, exact-generation close, foreground gRPC health, and shared canonical store failure state without depending upward on DistSQL. Multi-connection pool policy, background recovery, TLS, replica seeds beyond voters, and broad Close coordination remain open.
pkg/store/driver/backoff/backoff.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/retry.rs	The read path owns source-shaped per-region retry categories including TiKVRPC transport failure, capped exponential/equal-jitter arithmetic, ServerBusy sleep exclusion, longest effective exhaustion identity, one shared sender/outer budget, and injected cancellation-aware sleeping. The full generic Backoffer, context variables, metrics, TxnLockFast caps, and lock-resolution budgets remain open.
pkg/store/driver/options/options.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/client.rs	All seven TiDB replica-read discriminants map exactly to client-go, including both closest modes becoming mixed and unknown values returning leader zero. The live path admits only the PD-declared TiKV leader and fails every other replica policy closed; follower/stale/prefer-leader routing, labels, seed rotation, proxying, and generic fallback remain open.
pkg/store/driver/tikv_driver.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-txnkv/src/client.rs	Driver defaults are cloned before exact replacement options, PD dial-option metadata preserves max receive size, keepalives, timeout, forwarding, and metrics labels, and SourceStmt trace injection is a nil no-op that preserves unrelated fields. Plaintext PD discovery and address-keyed TiKV gRPC execute in the bounded read path. Global hooks/config mutation, path parsing, TLS/keyspace setup, broad store lifecycle, safe point, latches, generic RPC pooling/retry, active cancellation, and Close remain open.
pkg/distsql/distsql.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-distsql/src/cop_paging/direct_unary_query_transport.rs	SelectWithRuntimeStats prepares checked logical tasks from shared RegionCache topology and returns one lazy QueryResponse. Immediately before each send, the response selects against current canonical store state; connection failure performs exact close/liveness/store invalidation/backoff/reselection and preserves logical order, paging, cache, EMA, and response accounting. QueryResultContext and QuerySelectResult retain warning, raw subset, runtime metadata, and close ownership. Analyze, Checksum, follower/stale reads, TiFlash, active RPC cancellation, memory accounting, asynchronous production, and full runtime-stat formatting remain fail-closed or external.
pkg/executor/distsql.go	PARTIAL	distsql-unary-transport-retry-runtime	rust/crates/tidb-exec/src/storage_reader/table_index_reader.rs	The existing lack_handles leaf remains executable after ownership consolidation, and the IndexReader post-lowering lifecycle consumes already-built requests through the canonical lazy query runtime: Open transfers every response once, ordered Next forwards its remaining caller row budget through serial/select/query response owners, and explicit or RAII Close releases every opened response exactly once. The post-lowering reader can reach the concrete unary client in focused tests; physical-plan/DAG/range construction, KV handle encoding, lookup workers, consistency reporting, sorted merging, response-close errors, and real table-reader-driven TiKV queries remain open.
