# Complete package source evidence for parser-mysql-package.
# source_path	status	owner	evidence_artifact	note
pkg/parser/mysql/charset.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete charset defaults, exact 223-entry bidirectional collation authority, UTF-8 classifier, and executable RangeGraph membership contract are transcreated from pinned Go Unicode tables with a reproducible checked generator.
pkg/parser/mysql/const.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete protocol constants, command names, SQL-mode bitset and expansion rules, priority conversion, authentication constants, coreos-compatible TiDB X version conversion, and coherent runtime-mutable release/server version authority are transcreated with typed Rust APIs.
pkg/parser/mysql/errcode.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete generated MySQL error-code table is retained as the Rust error-code authority and is validated for generated source parity.
pkg/parser/mysql/errname.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete 952-entry MySQL error-message and redaction-position catalog is retained as the Rust message authority and validated for generated source parity.
pkg/parser/mysql/error.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	SQLError construction, SQLSTATE fallback, catalog formatting, typed Go-format diagnostics and primitive verbs, redaction modes, unknown-code fmt.Sprint spacing, and display text are transcreated through typed FormatArg values and Go-oracle matrices.
pkg/parser/mysql/locale_format.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	All locale tables and number-grouping branches are transcreated; SQL callers supply the same non-empty ASCII decimal strings, while impossible empty Rust inputs return a typed error instead of preserving a Go indexing panic.
pkg/parser/mysql/privs.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete privilege bit identities, names, user columns, SET spellings, reverse lookups, and ordered scope sets are transcreated from mutable Go maps into one immutable Rust authority.
pkg/parser/mysql/state.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	The complete generated SQLSTATE table and HY000 fallback are retained as the Rust SQLSTATE authority and validated for generated source parity.
pkg/parser/mysql/type.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	Every MySQL type code, field flag, and flag predicate is transcreated with the exact numeric representation and behavior.
pkg/parser/mysql/util.go	COVERED	parser-mysql-package	rust/difftests/corpus/coverage/evidence/source/parser-mysql-package.tsv	Integer classification, default field dimensions, CAST dimensions, and the historical clear-text authentication-plugin classification are transcreated exactly.
