# histogram-decline-evidence-v1
# Each row quotes the Go boundary and names the concrete Rust ownership seam or measured fact.
id	go_evidence	rust_boundary	verification
E01_PSEUDO_CHUNK	pkg/statistics/histogram.go:56-60 says "Global static chunk for pseudo histograms" and stores sync.Once plus *chunk.Chunk; lines 142-160 rewrite string FieldType collation before returning the shared chunk	Rust Histogram stores owned Datum bounds per Bucket and tidb-stats/Cargo.toml has no Go chunk or FieldType dependency	lockdown_declined_histogram_evidence_is_source_backed
E02_GO_MEMORY_LAYOUT	pkg/statistics/histogram.go:98,113,122 define memory constants with unsafe.Sizeof over Go structs and scalar; MemoryUsage also reads chunk capacity	Rust makes no Go ABI or allocator-size promise and has no chunk capacity field; semantic bucket contents are anchored separately	lockdown_declined_histogram_evidence_is_source_backed
E03_CHUNK_CODEC_LIFECYCLE	pkg/statistics/histogram.go:245-286 iterates chunk rows, calls tablecodec.DecodeColumnValue or Datum.ConvertTo, and returns bounds to a Go chunk pool	Rust tidb-stats accepts already decoded Datum values; tablecodec decode and Go pool ownership remain at their codec/allocation boundaries	source_bound_access_copy_and_deep_slice_match_go_ownership
E04_RENDERING_CODEC	pkg/statistics/histogram.go:335-361 formats encoded values through SessionVars, codec.DecodeRange, DatumsToString and terror logging	Rust histogram estimation owns decoded Datum arithmetic, not session-aware SQL diagnostic rendering	lockdown_declined_histogram_evidence_is_source_backed
E05_RANGER_SPLIT	pkg/statistics/histogram.go:770-899 accepts and mutates []*ranger.Range and uses chunk row comparison to split encoded planner ranges	tidb-stats has no ranger.Range type or planner range dependency; range construction remains with the ranger/planner owner	lockdown_declined_histogram_evidence_is_source_backed
E06_TIPB_WIRE	pkg/statistics/histogram.go:906-955 converts to and from *tipb.Histogram and tests index shape through a nil FieldType	tidb-stats owns decoded histogram arithmetic and has no tipb dependency in Cargo.toml; protobuf transport remains at its wire owner	lockdown_declined_histogram_evidence_is_source_backed
E07_INDEX_PREFIX_CMS	pkg/statistics/histogram.go:1303-1358 parses encoded index columns with codec.CutOne and queries CMSketch hashes while extracting TopN	Rust key cutting lives in tidb-codec/tidb-tablecodec and is deliberately outside the decoded-Datum histogram boundary	lockdown_declined_histogram_evidence_is_source_backed
E08_GO_SYNC_POOL	pkg/statistics/histogram.go:1363-1378 uses sync.Pool only to recycle bucket4Merging allocations	Rust BucketForMerging values use ordinary ownership; merge result semantics are observed without promising Go allocator reuse	source_merge_partition_level_hist_matches_all_go_cases
E09_INDEX_QUERY_OWNER	pkg/statistics/histogram_test.go:537 calls Index.QueryBytes; the production definition is pkg/statistics/index.go:178, not histogram.go	The Rust owner is tidb-stats/src/index_query.rs rather than histogram.rs	index_query_source::source_index_query_matches_histogram_test_fallback_values
E10_GO_BENCHMARK_HARNESS	pkg/statistics/histogram_bench_test.go:30-108 generates random buckets and reports Go testing.B timing without a semantic assertion	The deterministic merge semantics are ported and mutation-tested; Go runtime benchmark throughput is not a cross-language behavior contract	lockdown_declined_histogram_evidence_is_source_backed
E11_DECODED_HISTOGRAM_LAYOUT	pkg/statistics/histogram.go:64-71 stores *types.FieldType, *chunk.Chunk bounds, and a []scalar cache directly on Histogram	Rust Bucket owns decoded Datum bounds and calc_fraction_from_datums derives scalar geometry on demand; tidb-stats therefore has no Go FieldType pointer or scalar cache field	source_bound_access_copy_and_deep_slice_match_go_ownership
