# find-best-task-evidence-v1
evidence_id	verdict	go_contract	rust_boundary	proof_or_receipt
R_SKYLINE_CORE	PORTED	compareBool compareIndexBack and compareCandidates form the access-path dominance partial order	skyline::compare_candidates	rust-test:skyline::tests::a_strict_superset_of_access_columns_dominates|rust-test:skyline::tests::equal_sized_but_different_access_columns_are_incomparable|rust-test:skyline::tests::a_covering_scan_dominates_an_identical_non_covering_one
R_SKYLINE_EQ	PORTED	equality-IN prefix count and full-index match break skyline ties	skyline::compare_eq_or_in	rust-test:skyline::tests::a_strict_superset_of_access_columns_dominates|rust-test:skyline::tests::a_thousandfold_smaller_access_count_wins_on_its_own
R_SKYLINE_PSEUDO	PORTED	pseudo index statistics and prefer-range narrowing survive only at Go's boundaries	skyline::compare_pseudo	rust-test:skyline::tests::prefer_range_drops_the_full_scan_only_under_pseudo_statistics
R_SKYLINE_RISK	PORTED	Max Min and expected access counts decide the same risk winner as compareRiskRatio	skyline::compare_risk_ratio	rust-test:skyline::tests::no_identified_risk_beats_any_identified_risk|rust-test:skyline::tests::a_risky_covering_index_no_longer_prunes_the_certain_lookup_go_keeps|rust-test:skyline::tests::a_clear_risk_difference_separates_otherwise_incomparable_candidates
R_SKYLINE_PRUNE	PORTED	skyline iteration short-circuits empty ranges removes dominated candidates and preserves forced paths in preferRange	skyline::skyline_pruning	rust-test:skyline::tests::an_empty_range_short_circuits_to_that_candidate_alone|rust-test:skyline::tests::pruning_keeps_enumeration_order_and_drops_the_dominated|rust-test:skyline::tests::prefer_range_never_drops_a_forced_full_index_scan
R_ACCESS_ENUM	PORTED	table and index candidate coordinates are derived before skyline pruning	access_cost::enumerate_paths	rust-test:access_cost::tests::a_sort_property_keeps_a_non_covering_index_go_would_keep|rust-test:driver::tests::index_ranges::index_ranges_are_built_the_way_go_builds_them
R_ACCESS_CHOICE	PORTED	DataSource access candidates are skyline-pruned costed and reduced to one path	access_cost::choose_access_path	rust-test:driver::tests::index_ranges::index_range_scans|rust-test:skyline::tests::pruning_keeps_enumeration_order_and_drops_the_dominated
R_LEAF_ACCESS	PORTED	a join leaf re-enters access-path choice under its required order	driver::leaf_access::leaf_index_path	rust-test:driver::tests::joins::a_leaf_asked_for_an_index_order_walks_the_index_and_says_so
R_POINT_GET	PORTED	point and batch-point paths require complete non-null point ranges and preserve residual filters	driver::access::try_point_get	rust-test:driver::tests::point_get::point_get_is_chosen_only_for_the_shapes_go_accepts|rust-test:driver::tests::point_get::batch_point_get_is_chosen_only_for_the_shapes_go_accepts|rust-test:driver::tests::point_get::a_single_point_handle_range_with_a_filter_is_a_point_get
R_SCAN_BUILD	PORTED	the chosen table or index range is committed to a runnable source with its keep-order contract	driver::access::commit_index_range_source	rust-test:driver::tests::index_ranges::index_range_scans|rust-test:driver::tests::joins::a_leaf_asked_for_an_index_order_walks_the_index_and_says_so
R_FILTER_SPLIT	PORTED	access conditions narrow the source while residual predicates remain enforced above it	driver::access::negotiate_scan_filter	rust-test:driver::tests::index_ranges::multi_column_and_multi_range_scans_read_the_same_rows_as_a_full_scan
R_TABLE_DUAL	PORTED	contradictory constants and empty access ranges become zero-row TableDual sources	driver::access::install_contradiction_dual	rust-test:skyline::tests::an_empty_range_short_circuits_to_that_candidate_alone
D_TABLE_SAMPLE	DECLINED	Go routes ds.SampleInfo to PhysicalTableSample and validateTableSamplePlan rejects any other valid task	driver::from::build_from refuses parsed TABLESAMPLE because this tier has no TiKV region sampler	rust-test:driver::tests::select_clauses::a_table_sample_clause_is_refused_rather_than_answered_in_full|go-test:pkg/executor::TestTableSampleBasic
D_PROPERTY_EXTENSIONS	DECLINED	matchProperty includes vector TiFlash common-handle partial-order and multi-range merge-sort cases	driver::access::order_is_index_order ports the reachable single-range prefix and constant-prefix cases; unsupported extensions fail closed to Sort or no merge path	rust-test:driver::access::find_best_task_property_tests::match_property_skips_a_single_constant_index_prefix_only|source-proof:no-VectorInfo-no-TiFlash-no-common-handle-no-merge-sort-constructor
D_MERGE_SORT	DECLINED	GroupRangesByCols enables PropMatchedNeedMergeSort over several point ranges	driver::access::order_is_index_order refuses several ranges so Sort owns the answer	rust-test:driver::access::find_best_task_property_tests::match_property_skips_a_single_constant_index_prefix_only
U_VOLCANO_TASK	UNREACHABLE	Go generic LogicalPlan GroupExpression Task cache and Attach2Task recursion drive Volcano and memo enumeration	Rust driver constructs executor trees directly from AST and has no base.Task GroupExpression or physical-plan attachment interface	static-proof:no-Go-task-or-group-expression-type-in-tidb-executor
U_INDEX_MERGE	UNREACHABLE	Go AccessPath may carry PartialIndexPaths PartialAlternativeIndexPaths MVIndex and partial-order state	Rust AccessPath has exactly one optional index and one range vector and exposes no index-merge MV or partial-order constructor	static-proof:single-index-AccessPath-shape|rust-test:driver::access::find_best_task_property_tests::match_property_skips_a_single_constant_index_prefix_only
U_TIFLASH_MPP	UNREACHABLE	Go builds TiFlash MppTask vector-index and global-index paths	Rust storage catalog exposes row-store KvTable indexes only and no TiFlash MPP vector or global-index path type	static-proof:no-TiFlash-MppTask-VectorInfo-global-index-constructor
U_GO_TEST_MOCK	UNREACHABLE	Go direct tests construct mockLogicalPlan4Test and mockPhysicalPlan4Test through base Task interfaces	Rust has no generic LogicalPlan PhysicalPlan Task invalid-task or CanAddEnforcer mock seam	static-proof:no-Go-task-mock-interface; test obligations remain enumerated 1-for-1
U_PRUNING_DIAGNOSTIC	UNREACHABLE	getPruningInfo emits Go optimizer-trace diagnostic strings from candidatePath state	Rust exposes EXPLAIN plan tracing but no optimizer-trace candidate-pruning callback or PruningInfo consumer	static-proof:no-optimizer-trace-pruning-info-interface
